PhraseId,SentenceId,Phrase,Sentiment
4,1,A,2
5,1,series,2
7,1,of,2
9,1,escapades,2
12,1,demonstrating,2
14,1,the,2
15,1,adage,2
17,1,that,2
19,1,what,2
21,1,is,2
23,1,good,3
25,1,for,2
27,1,goose,2
31,1,also,2
37,1,gander,2
38,1,",",2
41,1,some,2
43,1,which,2
45,1,occasionally,2
47,1,amuses,3
49,1,but,2
51,1,none,2
55,1,amounts,2
57,1,to,2
59,1,much,2
62,1,story,2
63,1,.,2
66,2,This,2
69,2,quiet,2
73,2,introspective,2
74,2,and,2
75,2,entertaining,4
76,2,independent,2
80,2,worth,2
81,2,seeking,2
85,3,Even,2
86,3,fans,3
90,3,Ismail,2
92,3,Merchant,2
93,3,'s,2
94,3,work,2
99,3,I,2
100,3,suspect,2
103,3,would,2
105,3,have,2
109,3,hard,2
110,3,time,2
112,3,sitting,2
114,3,through,2
116,3,one,2
122,4,positively,3
124,4,thrilling,4
125,4,combination,2
129,4,ethnography,2
131,4,all,2
134,4,intrigue,3
137,4,betrayal,2
141,4,deceit,1
142,4,murder,1
148,4,Shakespearean,2
149,4,tragedy,1
150,4,or,2
153,4,juicy,3
155,4,soap,2
156,4,opera,2
159,5,Aggressive,2
162,5,self-glorification,2
165,5,manipulative,2
166,5,whitewash,2
170,6,comedy-drama,2
174,6,nearly,2
175,6,epic,3
176,6,proportions,2
180,6,rooted,3
182,6,in,2
185,6,sincere,3
186,6,performance,2
188,6,by,2
192,6,title,2
193,6,character,2
195,6,undergoing,2
197,6,midlife,2
198,6,crisis,2
200,7,Narratively,2
204,7,Trouble,1
206,7,Every,2
207,7,Day,2
212,7,plodding,1
213,7,mess,1
216,8,Importance,3
219,8,Being,2
222,8,Earnest,3
224,8,so,2
226,8,thick,2
228,8,with,2
230,8,wit,2
232,8,it,2
234,8,plays,2
236,8,like,2
239,8,reading,2
241,8,from,2
244,8,Bartlett,2
246,8,Familiar,2
247,8,Quotations,2
253,9,does,2
254,9,n't,2
257,9,leave,1
258,9,you,2
263,10,could,2
266,10,hate,0
270,10,same,2
271,10,reason,2
273,11,There,2
279,11,little,2
282,11,recommend,3
284,11,Snow,2
285,11,Dogs,2
287,11,unless,2
290,11,considers,2
295,11,cliched,1
296,11,dialogue,2
298,11,perverse,1
299,11,escapism,2
302,11,source,2
305,11,high,3
306,11,hilarity,3
309,12,Kung,2
310,12,Pow,3
320,12,Oedekerk,2
321,12,realization,2
324,12,his,2
326,12,childhood,2
327,12,dream,3
330,12,be,2
334,12,martial-arts,2
335,12,flick,2
337,12,proves,2
340,12,sometimes,2
344,12,dreams,2
346,12,youth,2
348,12,should,2
350,12,remain,2
352,12,just,2
355,13,performances,2
358,13,are,2
360,13,an,2
362,13,absolute,2
363,13,joy,4
365,14,Fresnadillo,2
368,14,has,2
370,14,something,2
372,14,serious,2
375,14,say,2
377,14,about,2
380,14,ways,2
385,14,extravagant,4
386,14,chance,2
388,14,can,2
392,14,distort,2
394,14,our,2
395,14,perspective,2
398,14,throw,2
399,14,us,3
401,14,off,1
404,14,path,2
407,14,sense,2
410,15,still,2
415,15,Moonlight,2
417,15,Mile,2
420,15,better,4
421,15,judgment,2
423,15,damned,1
428,16,welcome,2
429,16,relief,2
433,16,baseball,2
434,16,movies,2
437,16,try,2
439,16,too,2
443,16,mythic,2
453,16,sweet,4
454,16,modest,3
456,16,ultimately,2
458,16,winning,3
463,17,bilingual,2
464,17,charmer,3
469,17,woman,2
471,17,who,2
473,17,inspired,3
480,18,less,2
482,18,dizzily,2
483,18,gorgeous,3
484,18,companion,3
486,18,Mr.,2
488,18,Wong,2
495,18,Mood,2
500,18,Love,4
501,18,--,2
503,18,very,2
506,18,Hong,2
508,18,Kong,2
509,18,movie,2
511,18,despite,2
513,18,its,2
515,18,mainland,2
516,18,setting,2
520,19,As,2
521,19,inept,1
525,19,big-screen,2
526,19,remakes,2
531,19,Avengers,2
534,19,Wild,3
536,19,West,2
541,20,everything,2
544,20,'d,2
548,20,expect,2
550,20,nothing,1
551,20,more,2
553,21,Best,4
558,21,indie,2
561,21,year,2
563,21,far,2
571,22,Hatfield,2
572,22,Hicks,2
574,22,make,2
577,22,oddest,1
579,22,couples,2
588,22,becomes,2
591,22,study,2
595,22,gambles,2
599,22,publishing,2
600,22,world,2
602,22,offering,2
606,22,case,2
610,22,exists,2
611,22,apart,2
618,22,political,2
619,22,ramifications,2
627,23,going,2
631,23,house,2
632,23,party,2
634,23,watching,2
637,23,host,2
640,23,defend,2
641,23,himself,2
643,23,against,2
646,23,frothing,1
647,23,ex-girlfriend,2
652,24,Chuck,2
654,24,Norris,2
656,24,``,2
658,24,grenade,1
660,24,gag,1
661,24,'',2
664,24,occurs,2
669,24,7,2
670,24,times,2
672,24,during,2
673,24,Windtalkers,2
678,24,indication,2
681,24,how,2
684,24,serious-minded,2
686,24,film,2
689,25,plot,2
695,25,romantic,2
697,25,comedy,3
698,25,boilerplate,2
700,25,start,2
702,25,finish,2
706,26,arrives,2
714,26,impeccable,4
716,26,pedigree,2
719,26,mongrel,1
720,26,pep,2
721,26,almost,2
723,26,indecipherable,2
725,26,complications,1
731,27,clearly,2
733,27,means,2
737,27,preach,2
738,27,exclusively,2
741,27,converted,2
744,28,While,2
752,28,offers,2
754,28,opportunities,2
757,28,occasional,2
758,28,smiles,2
759,28,chuckles,1
766,28,give,3
774,28,theater,3
776,28,beyond,2
781,28,Wilde,2
785,28,actors,2
786,28,',2
789,29,latest,2
793,29,vapid,1
796,29,actor,2
797,29,exercise,2
